epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,64.7353,0.78639,0.98344,0.97904,1,0.12097,0.94143,0.75922,0.74038,2.4765,0.98519,0.000604121,0.000604121,0.000604121
62,65.8609,0.86835,0.9193,0.96799,1,0.12097,0.94143,0.75922,0.74038,2.4765,0.98519,0.000607478,0.000607478,0.000607478
63,66.9396,0.75393,0.93941,0.92328,0.88424,0.1872,0.9565,0.81056,0.6777,2.35367,0.97106,0.000610615,0.000610615,0.000610615
64,68.0219,0.71517,0.87119,0.96553,0.88424,0.1872,0.9565,0.81056,0.6777,2.35367,0.97106,0.000613533,0.000613533,0.000613533
65,69.049,0.79587,0.95004,0.92534,0.88424,0.1872,0.9565,0.81056,0.6777,2.35367,0.97106,0.00061623,0.00061623,0.00061623
66,70.1269,0.7437,1.01969,0.95231,0.90795,0.38924,0.962,0.80418,0.7129,2.23012,0.96877,0.000618707,0.000618707,0.000618707
67,71.1575,0.70158,1.01925,0.93997,0.90795,0.38924,0.962,0.80418,0.7129,2.23012,0.96877,0.000620964,0.000620964,0.000620964
68,72.1733,0.61664,0.94626,0.93126,0.90795,0.38924,0.962,0.80418,0.7129,2.23012,0.96877,0.000623001,0.000623001,0.000623001
69,73.2368,0.65631,0.99417,0.95249,0.92129,0.53134,0.95444,0.75138,0.7402,2.13418,0.95263,0.000624818,0.000624818,0.000624818
70,74.3603,0.54106,0.82061,0.85793,0.92129,0.53134,0.95444,0.75138,0.7402,2.13418,0.95263,0.000626415,0.000626415,0.000626415
71,75.4637,0.77728,1.04385,0.98775,0.92129,0.53134,0.95444,0.75138,0.7402,2.13418,0.95263,0.000627792,0.000627792,0.000627792
72,76.6428,0.71259,0.91595,1.00116,1,0.64727,0.985,0.80229,0.78625,2.00962,0.94666,0.000628949,0.000628949,0.000628949
73,77.8013,0.68104,0.83534,0.91537,1,0.64727,0.985,0.80229,0.78625,2.00962,0.94666,0.000629886,0.000629886,0.000629886
74,78.9324,0.75265,1.30719,1.05201,1,0.64727,0.985,0.80229,0.78625,2.00962,0.94666,0.000630603,0.000630603,0.000630603
75,80.3285,0.85291,1.13943,0.99332,1,0.69746,0.995,0.78108,0.82227,1.97532,0.9576,0.0006311,0.0006311,0.0006311
76,82.2981,0.88944,0.9418,0.9991,1,0.69746,0.995,0.78108,0.82227,1.97532,0.9576,0.000631376,0.000631376,0.000631376
77,84.3479,0.781,0.9664,0.92383,1,0.69746,0.995,0.78108,0.82227,1.97532,0.9576,0.000631433,0.000631433,0.000631433
78,86.3472,0.62188,0.7951,0.91315,0.98818,0.76538,0.995,0.79573,0.80348,1.986,0.95492,0.00063127,0.00063127,0.00063127
79,88.2603,0.76169,0.8901,1.02322,0.98818,0.76538,0.995,0.79573,0.80348,1.986,0.95492,0.000630886,0.000630886,0.000630886
80,90.1376,0.72992,0.81907,0.9407,0.98818,0.76538,0.995,0.79573,0.80348,1.986,0.95492,0.000630283,0.000630283,0.000630283
81,92.2214,0.59982,0.95924,0.97407,0.95961,0.65158,0.995,0.77518,0.77011,1.82262,0.95362,0.000629459,0.000629459,0.000629459
82,93.5328,0.6766,0.83935,0.94728,0.95961,0.65158,0.995,0.77518,0.77011,1.82262,0.95362,0.000628416,0.000628416,0.000628416
